site,plot,treatment,sp,ID,plantings,age,flag,background,background_sp,background_density,density_level,survival,fungicide,focal,foc,bg,plotf
D2,8,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D28f
D2,8,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D28f
D2,8,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D28f
D2,8,fungicide,Ev,A,1,adult,red,Ev adult,Ev,2,low,1,1,Ev adult,a,a,D28f
D3,8,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D38f
D3,8,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D38f
D3,8,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D38f
D3,8,fungicide,Ev,A,1,adult,red,Ev adult,Ev,2,low,1,1,Ev adult,a,a,D38f
D4,8,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D48f
D4,8,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D48f
D4,8,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D48f
D4,8,fungicide,Ev,A,1,adult,red,Ev adult,Ev,2,low,1,1,Ev adult,a,a,D48f
D1,9,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D19f
D1,9,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D19f
D1,9,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D19f
D1,9,fungicide,Ev,A,1,adult,red,Ev adult,Ev,4,medium,1,1,Ev adult,a,a,D19f
D2,9,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D29f
D2,9,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D29f
D2,9,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D29f
D2,9,fungicide,Ev,A,1,adult,red,Ev adult,Ev,4,medium,1,1,Ev adult,a,a,D29f
D3,9,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D39f
D3,9,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D39f
D3,9,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D39f
D3,9,fungicide,Ev,A,1,adult,red,Ev adult,Ev,4,medium,1,1,Ev adult,a,a,D39f
D4,9,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D49f
D4,9,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D49f
D4,9,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,4,medium,1,1,Ev seedling,s,a,D49f
D4,9,fungicide,Ev,A,1,adult,red,Ev adult,Ev,4,medium,1,1,Ev adult,a,a,D49f
D1,10,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D110f
D1,10,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D110f
D1,10,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D110f
D1,10,fungicide,Ev,A,1,adult,red,Ev adult,Ev,8,high,1,1,Ev adult,a,a,D110f
D2,10,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D210f
D2,10,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D210f
D2,10,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D210f
D3,10,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D310f
D3,10,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D310f
D3,10,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D310f
D3,10,fungicide,Ev,A,1,adult,red,Ev adult,Ev,8,high,1,1,Ev adult,a,a,D310f
D4,10,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D410f
D4,10,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D410f
D4,10,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,8,high,1,1,Ev seedling,s,a,D410f
D4,10,fungicide,Ev,A,1,adult,red,Ev adult,Ev,8,high,1,1,Ev adult,a,a,D410f
