Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D4_9F_BgMv,10,2667476,266747.6,19.598,255,3237.118,1324.455,253.209,90.408
lesions:D4_9F_BgMv,104,75594,726.865,0.691,255,100.716,37.42,16.468,102.137
leaf:D4_9F_Mv1,1,309369,309369,21.652,255,3833.059,1595.162,246.935,165.727
lesions:D4_9F_Mv1,7,3994,570.571,0.509,255,85.792,32.792,17.59,163.677
leaf:D4_9F_Mv2,1,387918,387918,26.349,255,4203.481,1796.547,274.923,2.59
lesions:D4_9F_Mv2,9,7516,835.111,1.311,255,95.293,32.81,17.861,50.317
leaf:D4_9W_BgMv,10,1643281,164328.1,14.023,255,2617.86,1056.964,191.462,57.26
lesions:D4_9W_BgMv,84,132995,1583.274,1.355,255,150.218,56.979,19.123,73.782
leaf:D4_9W_Mv1,1,313798,313798,20.143,255,3451.121,1412.369,282.886,174.862
lesions:D4_9W_Mv1,7,5664,809.143,1.141,255,89.633,36.601,11.257,114.853
leaf:D4_9W_Mv2,1,111051,111051,14.346,255,2155.568,871.677,162.21,171.868
lesions:D4_9W_Mv2,3,24913,8304.333,11.788,255,438.763,140.913,29.975,94.498
leaf:D4_9W_Mv3,1,164766,164766,19.317,255,2663.082,1068.972,196.251,1.642
lesions:D4_9W_Mv3,10,12595,1259.5,4.931,255,126.386,54.85,10.937,78.146
