date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,path_ID,seeds_collected,field_notes
20190730,D2,3,water,Ev,A,4,3,0,1,0,0,
20190730,D2,4,water,Ev,1,4,2,0,1,0,0,
20190730,D2,4,water,Ev,2,4,4,1,1,1,0,only one clear Bp leaf
20190730,D2,4,water,Ev,3,4,2,0,1,0,0,
20190730,D2,4,water,Ev,A,4,4,1,1,1,1,
20190731,D2,5,water,Ev,1,5,5,0,1,0,0,
20190731,D2,5,water,Ev,2,4,4,0,1,0,0,
20190731,D2,5,water,Ev,3,8,4,0,1,0,0,
20190731,D2,5,water,Ev,A,9,7,0,1,0,0,
20190730,D2,6,water,Ev,1,6,2,0,1,0,0,
20190730,D2,6,water,Ev,2,8,4,1,1,1,0,
20190730,D2,6,water,Ev,3,6,3,1,1,1,0,
20190730,D2,6,water,Ev,A,6,5,0,0,0,1,limited leaves
20190731,D2,7,water,Ev,1,5,2,0,1,0,0,
20190731,D2,7,water,Ev,2,7,2,1,1,1,0,
20190731,D2,7,water,Ev,3,6,5,1,1,1,0,
20190731,D2,7,water,Ev,A,6,2,0,1,0,0,
20190731,D2,8,water,Ev,1,8,7,1,1,1,0,
20190731,D2,8,water,Ev,2,6,6,1,1,1,0,
20190731,D2,8,water,Ev,3,7,4,1,1,1,0,
20190731,D2,8,water,Ev,A,4,3,1,1,1,1,
20190730,D2,9,water,Ev,1,5,4,0,1,0,0,
20190730,D2,9,water,Ev,2,5,4,0,1,0,0,
20190730,D2,9,water,Ev,3,5,2,0,1,0,0,
20190730,D2,9,water,Ev,A,5,4,0,1,0,0,
20190730,D2,10,water,Ev,1,5,5,1,1,1,0,
20190730,D2,10,water,Ev,2,5,4,1,1,1,0,
20190730,D2,10,water,Ev,3,3,3,1,1,1,0,only one clear Bp leaf
20190730,D2,10,water,Ev,A,9,7,1,1,1,1,only one clear Bp leaf
20190729,D3,1,fungicide,Ev,1,5,2,0,1,0,0,
20190729,D3,1,fungicide,Ev,2,7,6,0,1,0,0,
