date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,seeds_collected,field_notes
20190705,D1,4,water,Ev,3,6,3,1,1,0,
20190705,D1,4,water,Ev,A,6,6,1,1,0,"Bp not collected, attached to seeds"
20190705,D1,5,water,Ev,1,6,2,0,1,0,
20190705,D1,5,water,Ev,2,5,1,0,1,0,
20190705,D1,5,water,Ev,3,8,2,0,1,0,only green tiller
20190705,D1,5,water,Ev,A,8,2,0,1,0,
20190705,D1,6,water,Ev,1,6,2,0,1,0,
20190705,D1,6,water,Ev,2,5,3,1,1,0,
20190705,D1,6,water,Ev,3,4,2,0,1,0,
20190705,D1,6,water,Ev,A,11,5,1,1,0,
20190704,D1,7,water,Ev,1,6,5,0,1,0,
20190704,D1,7,water,Ev,2,6,4,0,1,0,
20190704,D1,7,water,Ev,3,4,2,1,1,0,
20190704,D1,7,water,Ev,A,3,2,0,0,0,only one green tiller
20190705,D1,8,water,Ev,1,6,2,0,1,0,
20190705,D1,8,water,Ev,2,4,3,0,1,0,
20190705,D1,8,water,Ev,3,6,3,1,1,0,
20190705,D1,8,water,Ev,A,5,2,1,1,0,
20190704,D1,9,water,Ev,1,5,2,0,1,0,
20190704,D1,9,water,Ev,2,6,1,0,1,0,
20190704,D1,9,water,Ev,3,6,1,0,1,0,
20190704,D1,9,water,Ev,A,6,1,0,1,0,
20190705,D1,10,water,Ev,1,4,1,0,1,0,
20190705,D1,10,water,Ev,2,2,1,1,0,0,low leaf # all tillers
20190705,D1,10,water,Ev,3,4,2,0,1,0,
20190705,D1,10,water,Ev,A,5,2,0,1,1,seeds on detached tiller
20190704,D2,1,fungicide,Ev,1,7,4,1,1,0,
20190704,D2,1,fungicide,Ev,2,8,3,1,1,0,
20190704,D2,1,fungicide,Ev,3,9,6,0,1,0,
20190704,D2,1,fungicide,Ev,A,6,2,0,1,0,
20190704,D2,2,fungicide,Ev,1,6,2,0,1,0,
20190704,D2,2,fungicide,Ev,2,8,3,0,1,0,
20190704,D2,2,fungicide,Ev,3,6,3,0,1,0,
20190704,D2,2,fungicide,Ev,A,5,3,0,1,0,
20190704,D2,3,fungicide,Ev,1,6,1,0,1,0,
20190704,D2,3,fungicide,Ev,2,7,4,1,1,0,
20190704,D2,3,fungicide,Ev,3,6,5,1,1,0,
20190704,D2,3,fungicide,Ev,A,5,2,0,1,0,
20190704,D2,4,fungicide,Ev,1,6,2,0,1,0,
20190704,D2,4,fungicide,Ev,2,6,3,0,1,0,
20190704,D2,4,fungicide,Ev,3,7,2,0,1,0,
20190704,D2,4,fungicide,Ev,A,4,2,0,1,0,
20190704,D2,5,fungicide,Ev,1,7,2,0,1,0,
20190704,D2,5,fungicide,Ev,2,5,4,0,1,0,
20190704,D2,5,fungicide,Ev,3,5,3,0,1,0,
20190704,D2,5,fungicide,Ev,A,5,2,0,1,0,
20190704,D2,6,fungicide,Ev,1,4,3,1,1,0,
20190704,D2,6,fungicide,Ev,2,6,5,1,1,0,
20190704,D2,6,fungicide,Ev,3,6,5,1,1,0,
20190704,D2,6,fungicide,Ev,A,5,4,1,1,0,
20190704,D2,7,fungicide,Ev,1,6,3,0,1,0,
20190704,D2,7,fungicide,Ev,2,7,2,0,1,0,
20190704,D2,7,fungicide,Ev,3,8,4,0,1,0,
20190704,D2,7,fungicide,Ev,A,5,1,0,1,0,
20190704,D2,8,fungicide,Ev,1,5,3,1,1,0,
20190704,D2,8,fungicide,Ev,2,4,2,1,1,0,
20190704,D2,8,fungicide,Ev,3,6,4,1,1,0,
20190704,D2,8,fungicide,Ev,A,5,5,1,1,1,
20190704,D2,9,fungicide,Ev,1,5,2,1,1,0,
20190704,D2,9,fungicide,Ev,2,7,3,0,1,0,
20190704,D2,9,fungicide,Ev,3,9,4,0,1,0,
20190704,D2,9,fungicide,Ev,A,5,2,0,1,0,
