site,plot,treatment,bag,stems,seeds,seed_weight.g,count_date,count_initials,bag_notes
D2,4,water,8,3,100,0.1326,1/28/2019,DM,
D2,4,water,9,0,101,0.1148,1/28/2019,DM,
D2,4,water,10,2,29,0.0483,1/28/2019,DM,
D2,5,water,1,3,115,0.0921,1/28/2019,PR,
D2,5,water,2,3,129,0.075,1/28/2019,PR,
D2,5,water,3,3,54,0.0484,1/28/2019,PR,
D2,5,water,4,0,113,0.0737,1/28/2019,PR,
D2,5,water,5,3,92,0.0957,1/28/2019,PR,
D2,5,water,6,0,13,0.0144,1/28/2019,PR,
D2,5,water,7,2,104,0.0987,1/28/2019,PR,
D2,5,water,8,0,132,0.0658,1/28/2019,PR,
D2,5,water,9,2,81,0.0862,1/28/2019,PR,
D2,5,water,10,3,129,0.078,1/28/2019,DM,
D2,6,water,1,3,63,0.0933,1/28/2019,DM,
D2,6,water,2,3,57,0.0931,1/28/2019,DM,
D2,6,water,3,1,60,0.0973,1/28/2019,DM,
D2,6,water,4,1,49,0.0642,1/28/2019,DM,
D2,6,water,5,2,56,0.0836,1/28/2019,DM,
D2,6,water,6,0,55,0.0537,1/29/2019,DM,
D2,6,water,7,0,57,0.0462,1/29/2019,DM,
D2,6,water,8,3,56,0.0584,1/29/2019,DM,
D2,6,water,9,2,31,0.033,1/29/2019,DM,
D2,6,water,10,2,74,0.0745,1/29/2019,DM,
D2,7,water,1,0,51,0.056,1/31/2019,PR,
D2,7,water,2,1,209,0.1118,1/31/2019,PR,Recounted by RT
D2,7,water,3,3,62,0.0673,01/312019,PR,
D2,7,water,4,1,142,0.1278,2/1/2019,PR,
D2,7,water,5,3,84,0.076,2/1/2019,PR,
D2,7,water,6,3,165,0.1203,2/1/2019,PR,
D2,7,water,7,2,105,0.053,2/1/2019,PR,Recounted by RT
D2,7,water,8,0,24,0.0211,2/1/2019,PR,
D2,7,water,9,0,93,0.0814,2/1/2019,PR,
D2,7,water,10,0,1,0.001,2/1/2019,PR,
D2,8,water,1,3,70,0.0917,1/8/2019,DN,H.C.
D2,8,water,2,3,154,0.157,1/8/2019,DN,H.C.
D2,8,water,3,3,80,0.0871,1/8/2019,DN,H.C.
D2,8,water,4,1,65,0.0836,1/10/2019,DN,H.C.
D2,8,water,5,3,68,0.0349,1/10/2019,DN,H.C.
D2,8,water,6,3,135,0.1208,1/10/2019,DN,H.C.
D2,8,water,7,3,78,0.0993,1/10/2019,DN,H.C.
D2,8,water,8,3,123,0.0926,1/14/2019,RT,H.C.
D2,8,water,9,3,120,0.0745,1/14/2019,RT,
D2,8,water,10,3,89,0.1029,1/14/2019,RT,
D2,9,water,1,3,72,0.0744,12/9/2018,ZC,H.C.
D2,9,water,2,0,58,0.0495,12/9/2018,ZC,H.C.
D2,9,water,3,3,31,0.026,12/9/2018,ZC,H.C.
D2,9,water,4,3,58,0.061,1/7/2019,DN,H.C.
D2,9,water,5,3,79,0.0932,1/7/2019,DN,H.C.
D2,9,water,6,3,45,0.0514,1/7/2019,DN,H.C.
D2,9,water,7,3,74,0.0932,1/7/2019,DN,H.C.
D2,9,water,8,1,47,0.0475,1/7/2019,DN,H.C.
D2,9,water,9,0,73,0.0688,1/8/2019,DN,H.C.
D2,9,water,10,0,29,0.0365,1/8/2019,DN,H.C.
D2,10,water,1,3,69,0.0655,1/30/2019,PR,
D2,10,water,2,0,22,0.0278,1/30/2019,PR,
D2,10,water,3,2,66,0.084,1/30/2019,PR,
D2,10,water,4,3,38,0.0494,1/30/2019,PR,
D2,10,water,5,0,77,0.0576,1/30/2019,PR,
D2,10,water,6,3,61,0.063,1/30/2019,PR,
D2,10,water,7,2,37,0.046,1/30/2019,PR,
D2,10,water,8,3,73,0.0808,1/30/2019,PR,
D2,10,water,9,2,151,0.0997,1/30/2019,PR,
D2,10,water,10,3,57,0.0715,1/30/2019,PR,
D2,10,water,11,2,36,0.0313,1/30/2019,PR,Extra bag collected from this plot
D2,1,fungicide,1,3,127,0.1625,1/14/2019,RT,
D2,1,fungicide,2,3,104,0.1059,1/14/2019,RT,
D2,1,fungicide,3,0,39,0.0296,1/17/2019,RT,
