date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,field_notes
20180925,D2,5,fungicide,Mv,3,5,4,
20180925,D2,6,fungicide,Mv,1,4,3,
20180925,D2,6,fungicide,Mv,2,3,3,
20180925,D2,6,fungicide,Mv,3,4,4,
20180925,D2,7,fungicide,Mv,1,4,1,
20180925,D2,7,fungicide,Mv,2,4,1,
20180925,D2,7,fungicide,Mv,3,6,1,
20180925,D2,8,fungicide,Mv,1,4,4,
20180925,D2,8,fungicide,Mv,2,5,5,
20180925,D2,8,fungicide,Mv,3,2,2,
20180925,D2,9,fungicide,Mv,1,4,3,
20180925,D2,9,fungicide,Mv,2,4,2,
20180925,D2,9,fungicide,Mv,3,6,1,
20180925,D2,10,fungicide,Mv,1,4,0,
20180925,D2,10,fungicide,Mv,2,3,0,
20180925,D2,10,fungicide,Mv,3,5,0,
20180925,D3,1,water,Mv,1,3,3,
20180925,D3,1,water,Mv,2,5,5,
20180925,D3,1,water,Mv,3,3,3,
20180925,D3,2,water,Mv,1,NA,NA,
20180925,D3,2,water,Mv,2,4,4,
20180925,D3,2,water,Mv,3,3,3,
20180925,D3,2,water,Mv,Bg1,6,6,
20180925,D3,2,water,Mv,Bg10,6,6,
20180925,D3,2,water,Mv,Bg2,6,6,
20180925,D3,2,water,Mv,Bg3,5,5,
20180925,D3,2,water,Mv,Bg4,5,5,
20180925,D3,2,water,Mv,Bg5,4,4,
20180925,D3,2,water,Mv,Bg6,3,3,
20180925,D3,2,water,Mv,Bg7,5,5,
20180925,D3,2,water,Mv,Bg8,2,2,
20180925,D3,2,water,Mv,Bg9,4,4,
20180925,D3,3,water,Mv,1,2,2,
20180925,D3,3,water,Mv,2,2,2,didn't scan leaf because it was all brown
20180925,D3,3,water,Mv,3,3,3,
20180925,D3,3,water,Mv,Bg1,5,5,
20180925,D3,3,water,Mv,Bg10,5,5,
20180925,D3,3,water,Mv,Bg2,6,6,
20180925,D3,3,water,Mv,Bg3,3,3,
20180925,D3,3,water,Mv,Bg4,3,3,
20180925,D3,3,water,Mv,Bg5,5,5,
20180925,D3,3,water,Mv,Bg6,6,6,
20180925,D3,3,water,Mv,Bg7,6,6,
20180925,D3,3,water,Mv,Bg8,3,3,
20180925,D3,3,water,Mv,Bg9,4,4,
20180925,D3,4,water,Mv,1,5,5,
20180925,D3,4,water,Mv,2,4,3,
20180925,D3,4,water,Mv,3,2,2,
20180925,D3,4,water,Mv,Bg1,5,5,
20180925,D3,4,water,Mv,Bg10,5,5,
20180925,D3,4,water,Mv,Bg2,6,6,
20180925,D3,4,water,Mv,Bg3,5,5,
20180925,D3,4,water,Mv,Bg4,3,3,
20180925,D3,4,water,Mv,Bg5,3,3,
20180925,D3,4,water,Mv,Bg6,3,3,
20180925,D3,4,water,Mv,Bg7,3,3,
20180925,D3,4,water,Mv,Bg8,5,5,
20180925,D3,4,water,Mv,Bg9,4,4,
20180925,D3,5,water,Mv,1,5,5,
20180925,D3,5,water,Mv,2,5,5,
20180925,D3,5,water,Mv,3,5,5,
20180925,D3,6,water,Mv,1,4,4,
20180925,D3,6,water,Mv,2,3,3,
20180925,D3,6,water,Mv,3,NA,NA,
