date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,path_ID,microbiome,seeds_collected,field_notes
20190830,D2,2,fungicide,Ev,A,3,3,0,0,0,NA,0,too few green leaves
20190830,D2,3,fungicide,Ev,1,4,3,0,1,0,NA,0,
20190830,D2,3,fungicide,Ev,2,4,4,1,1,1,NA,0,
20190830,D2,3,fungicide,Ev,3,3,3,1,1,1,NA,0,
20190830,D2,3,fungicide,Ev,A,4,1,0,1,0,NA,0,
20190830,D2,4,fungicide,Ev,1,6,5,0,1,0,NA,0,
20190830,D2,4,fungicide,Ev,2,4,4,1,1,1,NA,0,
20190830,D2,4,fungicide,Ev,3,7,5,0,1,0,NA,0,
20190830,D2,4,fungicide,Ev,A,5,4,0,1,0,NA,1,
20190829,D2,5,fungicide,Ev,1,4,4,0,1,0,NA,0,
20190829,D2,5,fungicide,Ev,2,6,5,0,1,0,NA,0,
20190829,D2,5,fungicide,Ev,3,2,0,0,0,0,NA,0,too few green leaves
20190829,D2,5,fungicide,Ev,A,4,4,0,1,0,NA,0,
20190830,D2,6,fungicide,Ev,1,1,1,1,0,0,NA,0,too few green leaves
20190830,D2,6,fungicide,Ev,2,2,2,1,0,0,NA,0,too few green leaves
20190830,D2,6,fungicide,Ev,3,3,1,0,1,0,NA,0,
20190830,D2,6,fungicide,Ev,A,0,0,0,0,0,NA,0,appears dead
20190829,D2,7,fungicide,Ev,1,3,3,0,1,0,NA,0,
20190829,D2,7,fungicide,Ev,2,4,3,0,1,0,NA,0,
20190829,D2,7,fungicide,Ev,3,8,7,0,1,0,NA,0,
20190829,D2,7,fungicide,Ev,A,4,4,1,1,1,NA,1,
20190830,D2,8,fungicide,Ev,1,5,5,1,1,1,NA,0,
20190830,D2,8,fungicide,Ev,2,7,4,1,1,1,NA,0,
20190830,D2,8,fungicide,Ev,3,5,5,1,1,1,NA,0,
20190830,D2,8,fungicide,Ev,A,5,3,1,1,1,NA,1,
20190829,D2,9,fungicide,Ev,1,2,2,0,0,0,NA,0,too few green leaves
20190829,D2,9,fungicide,Ev,2,3,3,0,0,0,NA,0,too few green leaves
20190829,D2,9,fungicide,Ev,3,1,1,0,0,0,NA,0,too few green leaves
