site,plot,treatment,sp,age,ID,seeds,background,density_level,density,seeds_per_bag,seeds_per_stem,seeds_bio,seeds_soil,tillers_jul,seeds_per_m2,fungicide,seeds1,log_seeds,focal,foc,bg,plotf
D4,3,fungicide,Mv,seedling,NA,774.4444444444445,Mv,medium,19,60.1,34.166666666666664,683.5294118,1326.76923092,22.666666666666668,16410.601165061224,1,775.4444444444445,6.653436341680933,Mv,m,m,D43f
D4,3,water,Mv,seedling,NA,469.70000000000005,Mv,medium,19,37.1,14.233333333333334,308.4210526,505.076923092,33,6640.799801567347,0,470.70000000000005,6.154220948407096,Mv,m,m,D43w
D4,4,fungicide,Mv,seedling,NA,604.6444444444445,Mv,high,67,36.4,19.71666666666667,536,405.517241332,30.666666666666668,7685.855031281633,1,605.6444444444445,6.406293088539447,Mv,m,m,D44f
D4,4,water,Mv,seedling,NA,559.2,Mv,high,67,50.5,34.95,400,835.1304347399999,16,10082.69742644898,0,560.2,6.328293862826008,Mv,m,m,D44w
D4,5,fungicide,Mv,seedling,NA,978.0555555555554,Ev seedling,low,7,73.1,41.916666666666664,616,385.0000000419999,23.333333333333332,8171.428571771428,1,979.0555555555554,6.886588388168205,Mv,m,s,D45f
D4,5,water,Mv,seedling,NA,549.9,Ev seedling,low,7,46.7,30.55,756.4705882,195.99999999999997,18,7775.270107755102,0,550.9,6.311553304478671,Mv,m,s,D45w
D4,6,fungicide,Mv,seedling,NA,562.4,Ev seedling,medium,11,64.3,29.6,728.75,1378.53333366,19,17202.312927836734,1,563.4,6.3339898554422724,Mv,m,s,D46f
D4,6,water,Mv,seedling,NA,748.9333333333333,Ev seedling,medium,11,45.8,27.4,296.3636364,300.99999995799993,27.333333333333332,4876.437847820407,0,749.9333333333333,6.619984313690615,Mv,m,s,D46w
D4,7,fungicide,Mv,seedling,NA,1335.8703703703704,Ev seedling,high,19,88.11111111111111,43.092592592592595,262.2222222,504.0000000139999,31,6254.875283379591,1,1336.8703703703704,7.198086616807108,Mv,m,s,D47f
D4,7,water,Mv,seedling,NA,1146.8166666666666,Ev seedling,high,19,78.4,43.55,414.7368421,446.87999999999994,26.333333333333332,7033.606874285714,0,1147.8166666666666,7.045616866100873,Mv,m,s,D47w
D4,8,water,Mv,seedling,NA,516.6666666666667,Ev adult,low,3,45.1,25,411.25,338.54545458999996,20.666666666666668,6120.779221142857,0,517.6666666666667,6.249331534480578,Mv,m,a,D48w
D4,9,fungicide,Mv,seedling,NA,337.92222222222216,Ev adult,medium,5,53.5,29.816666666666663,787.5,826.6086956819998,11.333333333333332,13176.397515771429,1,338.92222222222216,5.825770648083883,Mv,m,a,D49f
D4,9,water,Mv,seedling,NA,680.2833333333333,Ev adult,medium,5,49,20.008333333333333,487.5,1008.00000042,34,12208.163268734696,0,681.2833333333333,6.523978274444046,Mv,m,a,D49w
D4,10,water,Mv,seedling,NA,1456.25,Ev adult,high,9,59.5,34.95,463.75,372.4,41.666666666666664,6825.714285714285,0,1457.25,7.2843063769256595,Mv,m,a,D410w
